     100 files     200 files     300 files     310 text files.
classified 310 filesDuplicate file check 310 files (263 known unique)Unique:      100 files                                          Unique:      200 files                                               303 unique files.                              
Counting:  100Counting:  200Counting:  300      17 files ignored.

http://cloc.sourceforge.net v 1.62  T=17.98 s (16.0 files/s, 711.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------------
App/Modules/VoteModule/ViewController/XPEditorVoteViewController.m                                               13             75             29
App/Modules/SecondHandModule/View/TransferOrBuyCell/XPTransferOrBuyOfPriceCell.m                                  6              7             28
App/Modules/LoginModule/Model/XPLoginModel.m                                                                      8              7             25
App/Modules/SecondHandModule/NetWork/XPAPIManager+SecondHand.h                                                   14             73             25
App/Modules/LoginModule/Storage/XPLoginStorage.m                                                                  7              7             25
App/Modules/SecondHandModule/ViewModel/XPTransferOrBuyViewModel.m                                                 7              7             24
App/Modules/CommunityAnnouncementModule/ViewModel/XPAnnouncementViewModel.m                                       8              7             24
App/Modules/TopicModule/XPDetailPostViewModel.m                                                                  11              7             24
App/Core/Base/ViewModel/XPBaseViewModel.m                                                                         6              7             24
App/Modules/SecondHandModule/ViewModel/XPSecondHandViewModel.m                                                    7              7             24
App/Modules/PropertyBillModule/ViewModel/XPPropertyBillViewModel.m                                                8              7             24
App/Modules/HouseholdModule/Network/XPAPIManager+Household.m                                                      5              7             23
App/Modules/SecondHandModule/View/TransferOrBuyCell/XPTransferOrBuyOfDescriptionCell.m                            7              7             23
App/Modules/NeighborhoodModule/ViewModel/XPTopicViewModel.m                                                       8              7             23
App/Modules/PropertyBillModule/Network/XPAPIManager+PropertyBill.m                                                6              7             22
App/Modules/CommunityAnnouncementModule/NetWork/XPAPIManager+Announcement.m                                       5              7             22
App/Modules/TopicModule/NetWork/XPAPIManager+Topic.m                                                              4              7             21
App/Modules/LoginModule/Model/XPLoginModel.h                                                                      8              7             21
App/Core/Category/NSObject+XPFlyweightTransmit.h                                                                  8             15             21
App/Modules/PropertyBillModule/View/XPPropertyBillTableViewCell.m                                                 9              7             20
App/Core/Category/RACSignal+XPBackgroundTaskAdditions.m                                                           4              7             20
App/Core/Base/ViewController/XPBaseTableViewController.m                                                          8              7             19
App/Core/Category/UIView+HESizeHeight.m                                                                           7              7             19
App/Core/Network/NSDictionary+XPAPIUserInfo.m                                                                     4              7             19
App/Modules/VoteModule/ViewController/XPToVoteInDetailsViewController.m                                          11              7             18
App/Core/Network/NSDictionary+XPAPISignature.m                                                                    5              8             18
App/Modules/SecondHandModule/View/TransferOrBuyCell/XPTransferOrBuyOfSelectImageCell.m                            8              7             18
